configuration,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_f2,cv_f2_std,train_f2,train_validation_f2_gap,parameters
Unrestricted,0.7316430020283976,0.4952790105863021,0.5137550817466585,0.5038953728352122,0.5096566589059103,0.01932946409612082,0.9947942276730316,0.48513756876712133,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1}"
Shallow,0.7803245436105477,0.6209294025371295,0.4839051212307332,0.5377991011488323,0.5027921227891092,0.04570241947084206,0.5308364655984956,0.02804434280938639,"{'model__class_weight': None, 'model__max_depth': 4, 'model__min_samples_leaf': 20}"
Regularized,0.7888438133874239,0.6117217367092337,0.561165218917259,0.5838012294296054,0.5696923616377416,0.04646585298809282,0.6125088185034582,0.04281645686571656,"{'model__class_weight': None, 'model__max_depth': 6, 'model__min_samples_leaf': 20}"
Regularized balanced,0.7340770791075051,0.4991902717106761,0.7622210523237108,0.6032507876916753,0.6895240096562867,0.016348031076219485,0.7449193436848283,0.055395334028541576,"{'model__class_weight': 'balanced', 'model__max_depth': 6, 'model__min_samples_leaf': 20}"
